"";"index";"all_text";"vuln"
"2811";"2174";"x 취약점 수정";"bad"
"2812";"7017";"fixed typo in readme file";"good"
"2813";"10258";"released v0 10 5";"good"
"2814";"8551";"fixed rephrased admin notification please check";"good"
"2815";"10907";"merge pull request 1717 from connortechnology fix_mmap_leak must call zmmeminvalidate before next";"good"
"2816";"3983";"cve 2017 13687 chdlc improve bound and length check prevent a possible buffer overread in chdlc_print and replace the custom check in chdlc_if_print with a standard check in chdlc_print so that the latter certainly doe not over read even when reached via juniper_chdlc_print add length check";"bad"
"2817";"12608";"fix 11237 x on tag_view_page php with user real name field the user real name field is not sanitised before being printed on tag_view_page php thus exposing an x vulnerability";"good"
"2818";"2146";"merge pull request 131 from benjaminchodroff master fix memory corruption and other 32bit overflow";"bad"
"2819";"11110";"doc update auto generated file with buflist option";"good"
"2820";"11789";"changed response sendredirect to requestdispatch forward for resource redirect filter to rely on server side redirect only cherry picked from commit 79611b7763673ceb8092ff3a408b863f0a6c49cb";"good"
"2821";"6173";"add csrf protection for bug_assign_reporter";"bad"
"2822";"9968";"improve csp compliance for gfx and charting 314 remove usage of new function";"good"
"2823";"9773";"key fix short sprintf buffer in proc key show function this fix cve 2016 7042 fix a short sprintf buffer in proc_keys_show if the gcc stack protector is turned on this can cause a panic due to stack corruption the problem is that xbuf is not big enough to hold a 64 bit timeout rendered a week gdb p 0xffffffffffffffffull 60 60 24 7 2 30500568904943 that s 14 char plus nul not 11 char plus nul expand the buffer to 16 char i think the unpatched code apparently work if the stack protector is not enabled because on a 32 bit machine the buffer won t be overflowed and on a 64 bit machine there s a 64 bit aligned pointer at one side and an int that isn t checked again on the other side the panic incurred look something like kernel panic not syncing stack protector kernel stack is corrupted in ffffffff81352ebe cpu 0 pid 1692 comm reproducer not tainted 4 7 2 201 fc24 x86_64 1 hardware name red hat kvm bios 0 5 1 01 01 2011 0000000000000086 00000000fbbd2679 ffff8800a044bc00 ffffffff813d941f ffffffff81a28d58 ffff8800a044bc98 ffff8800a044bc88 ffffffff811b2cb6 ffff880000000010 ffff8800a044bc98 ffff8800a044bc30 00000000fbbd2679 call trace ffffffff813d941f dump_stack 0x63 0x84 ffffffff811b2cb6 panic 0xde 0x22a ffffffff81352ebe proc_keys_show 0x3ce 0x3d0 ffffffff8109f7f9 __stack_chk_fail 0x19 0x30 ffffffff81352ebe proc_keys_show 0x3ce 0x3d0 ffffffff81350410 key_validate 0x50 0x50 ffffffff8134db30 key_default_cmp 0x20 0x20 ffffffff8126b31c seq_read 0x2cc 0x390 ffffffff812b6b12 proc_reg_read 0x42 0x70 ffffffff81244fc7 __vfs_read 0x37 0x150 ffffffff81357020 security_file_permission 0xa0 0xc0 ffffffff81246156 vfs_read 0x96 0x130 ffffffff81247635 sys_read 0x55 0xc0 ffffffff817eb872 entry_syscall_64_fastpath 0x1a 0xa4 reported by ondrej kozina okozina redhat com signed off by david howells dhowells redhat com tested by ondrej kozina okozina redhat com cc stable vger kernel org signed off by james morris james l morris oracle com";"good"
"2824";"7629";"info update queue dump to reflect reproducible build change signed off by phillip lougher phillip squashfs org uk";"good"
"2825";"8441";"lavc hevcdec treat clean random access nals a keyframes for skip_frame fix ticket 7227 reviewed by mark thompson";"good"
"2826";"384";"fix integer overflow by checking size against header_size note that the problem occurs when data_size is le than header_size what cause a buffer overflow in data i co authored by d4n dan cermak cgc instrument com";"bad"
"2827";"1823";"cve 2018 10895 fix csrf issue with qute setting set url in ffc29ee043ae7336d9b9dcc029a05bf7a3f994e8 part of v1 0 0 a qute setting set url wa added to change setting contrary to what i apparently believed at the time it is possible for website to access qute url i e neither qtwebkit nor qtwebengine prohibit such request other than the usual cross origin rule in other word this mean a website can e g have an img tag which load a qute setting set url which then set editor command to a bash script the result of that is arbitrary code execution fix 4060 see 2332";"bad"
"2828";"10427";"pim add another test add a test using the capture file supplied by bhargava shastry modified so the capture file won t be rejected a an invalid capture";"good"
"2829";"7196";"fixed for 5096";"good"
"2830";"7125";"merge remote tracking branch callumacrae ticket 13905 into 3 1 x callumacrae ticket 13905 ticket 13905 don t load loading gif until needed";"good"
"2831";"10723";"avformat hlsenc write fmp4 init header after first av frame fix ticket id 6825 signed off by steven liu lq onvideo cn tested by aman gupta aman tmm1 net";"good"
"2832";"3305";"hide revert button when no permission to revert";"bad"
"2833";"6268";"escaping issue from nguyen thanh nguyen http tsublogs wordpress com 2017 07 12 xoops core 2 5 8 1 install db sql injection http tsublogs wordpress com 2017 04 24 xoops core 2 5 8 1 install db cross site scripting";"bad"
"2834";"719";"alsa timer fix incorrectly assigned timer instance the clean up commit 41672c0c24a6 alsa timer simplify error path in snd_timer_open unified the error handling code path with the standard goto but it introduced a subtle bug the timer instance is stored in snd_timer_open incorrectly even if it return an error this may eventually lead to uaf a spotted by fuzzer the culprit is the snd_timer_open code check the sndrv_timer_iflg_exclusive flag with the common variable timeri this variable is supposed to be the newly created instance but we ab used it for a temporary check before the actual creation of a timer instance after that point there is another check for the max number of instance and it bail out if over the threshold before the refactoring above it worked fine because the code returned directly from that point after the refactoring however it jump to the unified error path that store the timeri variable in return even if it return an error unfortunately this stored value is kept in the caller side snd_timer_user_tselect in tu timeri this cause inconsistency later a if the timer wa successfully assigned in this patch we fix it by not re using timeri variable but a temporary variable for testing the exclusive connection so timeri remains null at that point fix 41672c0c24a6 alsa timer simplify error path in snd_timer_open reported and tested by tristan madani tristmd gmail com cc stable vger kernel org link http lore kernel org r 20191106165547 23518 1 tiwai suse de signed off by takashi iwai tiwai suse de";"bad"
"2835";"9598";"prevent buffer overflow in bmp sgi coder bug report from pwchen rayzhong of tencent";"good"
"2836";"12208";"don t allow url in user first last name";"good"
"2837";"11038";"add 40 more asm describe for thumb2";"good"
"2838";"142";"coredump fix race condition between mmget_not_zero get_task_mm and core dumping the core dumping code ha always run without holding the mmap_sem for writing despite that is the only way to ensure that the entire vma layout will not change from under it only using some signal serialization on the process belonging to the mm is not nearly enough this wa pointed out earlier for example in hugh s post from jul 2017 http lkml kernel org r alpine lsu 2 11 1707191716030 2055 eggly anvil not strictly relevant here but a related note i wa very surprised to discover only quite recently how handle_mm_fault may be called without down_read mmap_sem when core dumping that seems a misguided optimization to me which would also be nice to correct in particular because the growsdown and growsup can move the vm_start vm_end the various loop the core dump doe around the vma will not be consistent if page fault can happen concurrently pretty much all user calling mmget_not_zero get_task_mm and then taking the mmap_sem had the potential to introduce unexpected side effect in the core dumping code adding mmap_sem for writing around the core_dump invocation is a viable long term fix but it requires removing all copy user and page fault and to replace them with get_dump_page for all binary format which is not suitable a a short term fix for the time being this solution manually cover the place that can confuse the core dump either by altering the vma layout or the vma flag while it run once core_dump run under mmap_sem for writing the function mmget_still_valid can be dropped allowing mmap_sem protected section to run in parallel with the coredump provides some minor parallelism advantage to the swapoff code which seems to be safe enough by never mangling any vma field and can keep doing swapins in parallel to the core dumping and to some other corner case in order to facilitate the backporting i added fix 86039bd3b4e6 however the side effect of this same race condition in proc pid mem should be reproducible since before 2 6 12 rc2 so i couldn t add any other fix because there s no hash beyond the git genesis commit because find_extend_vma is the only location outside of the process context that could modify the mm structure under mmap_sem for reading by adding the mmget_still_valid check to it all other case that take the mmap_sem for reading don t need the new check after mmget_not_zero get_task_mm the expand_stack in page fault context also doesn t need the new check because all task under core dumping are frozen link http lkml kernel org r 20190325224949 11068 1 aarcange redhat com fix 86039bd3b4e6 userfaultfd add new syscall to provide memory externalization signed off by andrea arcangeli aarcange redhat com reported by jann horn jannh google com suggested by oleg nesterov oleg redhat com acked by peter xu peterx redhat com reviewed by mike rapoport rppt linux ibm com reviewed by oleg nesterov oleg redhat com reviewed by jann horn jannh google com acked by jason gunthorpe jgg mellanox com acked by michal hocko mhocko suse com cc stable vger kernel org signed off by andrew morton akpm linux foundation org signed off by linus torvalds torvalds linux foundation org";"bad"
"2839";"12308";"do not put database name a html";"good"
"2840";"8402";"add json header for m response";"good"
"2841";"12391";"fixed issue for new child of root not having an editable name field";"good"
"2842";"6619";"x fix for the minimal mailbox and message page";"bad"
"2843";"3575";"bugfix fixed a memory leak and potential abort condition this could happen if multiple rulesets were used and some output batch contained message belonging to more than one ruleset fix http bugzilla adiscon com show_bug cgi id 226 fix http bugzilla adiscon com show_bug cgi id 218";"bad"
"2844";"7026";"i40e fix wol support check the current check for wol on i40e is broken code comment say only magic packet is supported so only check for that fix 540a152da762 i40e ixgbe igb fail on new wol flag setting wake_magicsecure signed off by stefan assmann sassmann kpanic de signed off by jeff kirsher jeffrey t kirsher intel com";"good"
"2845";"1078";"set content type in json_error to application json";"bad"
"2846";"9676";"improve documentation";"good"
"2847";"12758";"luci base filter invalid opkg status line signed off by jo philipp wich jow openwrt org";"good"
"2848";"10783";"mm memory_hotplug do not back off draining pcp free page from kworker context drain_all_pages back off when called from a kworker context since commit 0ccce3b92421 mm page_alloc drain per cpu page from workqueue context because the original ipi based pcp draining ha been replaced by a wq based one and the check wanted to prevent from recursion and inter worker dependency this ha made some sense at the time because the system wq ha been used and one worker holding the lock could be blocked while waiting for new worker to emerge which can be a problem under oom condition since then commit ce612879ddc7 mm move pcp and lru pcp draining into single wq ha moved draining to a dedicated mm_percpu_wq wq with a rescuer so we shouldn t depend on any other wq activity to make a forward progress so calling drain_all_pages from a worker context is safe a long a this doesn t happen from mm_percpu_wq itself which is not the case because all worker are required to _not_ depend on any mm lock why is this a problem in the first place acpi driven memory hot remove acpi_device_hotplug is executed from the worker context we end up calling __offline_pages to free all the page and that requires both lru_add_drain_all_cpuslocked and drain_all_pages to do their job otherwise we can have dangling page on pcp list and fail the offline operation __test_page_isolated_in_pageblock would see a page with 0 ref count but without pagebuddy set fix the issue by removing the worker check in drain_all_pages lru_add_drain_all_cpuslocked doesn t have this restriction so it work a expected link http lkml kernel org r 20170828093341 26341 1 mhocko kernel org fix 0ccce3b924212 mm page_alloc drain per cpu page from workqueue context signed off by michal hocko mhocko suse com cc mel gorman mgorman suse de cc tejun heo tj kernel org cc stable vger kernel org 4 11 signed off by andrew morton akpm linux foundation org signed off by linus torvalds torvalds linux foundation org";"good"
"2849";"7320";"new report need to be checked";"good"
"2850";"8771";"merge pull request 288 from markusbeth lgtm_fixes lgtm fix";"good"
"2851";"3961";"cve 2017 13048 rsvp fix decoding of fast reroute object in rsvp_obj_print the case block for class num 205 fast_reroute from rfc 4090 section 4 1 could over read accessing the buffer content before making the bound check rearrange those step the correct way around this fix a buffer over read discovered by bhargava shastry sect tu berlin add a test using the capture file supplied by the reporter s";"bad"
"2852";"9135";"merge pull request 1693 from connortechnology fix_zmwatch_stealing_dev_shm_space add a zmmeminvalidate at the beginning of the while loop";"good"
"2853";"9630";"add check in fgetcsv in case sizeof unit sizeof size_t";"good"
"2854";"665";"ath10k fix memory leak in ath10k_usb_hif_tx_sg the allocated urb should be released if usb_submit_urb fails signed off by navid emamdoost navid emamdoost gmail com signed off by kalle valo kvalo codeaurora org";"bad"
"2855";"3914";"cve 2017 13004 juniper add a bound check this fix a buffer over read discovered by forcepoint s security researcher otto airamo antti levomäki add test using the capture file supplied by the reporter s";"bad"
"2856";"6133";"fix 12607 lfi pd x in upgrade_unattended php gjoko krstic of zero science lab ha kindly reported in detail a number of vulnerability in the admin upgrade_unattended php script earlier patch by victor boctor mantisbt developer resolved the issue this patch enhances those change to strengthen the security of this script even further please note that the admin directory should be deleted after installation on all live instance of mantisbt";"bad"
"2857";"7461";"update binpac fix potential out of bound memory read in generated code field length derived from other data in the input could potentially lead to reading from outside the bound of the input buffer reported by john villamil and chris rohlf yahoo paranoid";"good"
"2858";"6737";"fix a bunch of vsprintf vsnprintf close 1203";"good"
"2859";"9711";"fix 304 test suite failure in gif bug00006 2 2 3 gdimagegif convert to palette using gd_quant_default which is configuration dependend to circumvent this we re converting to palette ourselves explicitly setting the desired quantization method";"good"
"2860";"3182";"block fix use after free in seq file i got a kasan report of use after free bug kasan use after free in klist_iter_exit 0x61 0x70 at addr ffff8800b6581508 read of size 8 by task trinity c1 315 bug kmalloc 32 not tainted kasan bad access detected disabling lock debugging due to kernel taint info allocated in disk_seqf_start 0x66 0x110 age 144 cpu 1 pid 315 ___slab_alloc 0x4f1 0x520 __slab_alloc isra 58 0x56 0x80 kmem_cache_alloc_trace 0x260 0x2a0 disk_seqf_start 0x66 0x110 traverse 0x176 0x860 seq_read 0x7e3 0x11a0 proc_reg_read 0xbc 0x180 do_loop_readv_writev 0x134 0x210 do_readv_writev 0x565 0x660 vfs_readv 0x67 0xa0 do_preadv 0x126 0x170 sys_preadv 0xc 0x10 do_syscall_64 0x1a1 0x460 return_from_syscall_64 0x0 0x6a info freed in disk_seqf_stop 0x42 0x50 age 160 cpu 1 pid 315 __slab_free 0x17a 0x2c0 kfree 0x20a 0x220 disk_seqf_stop 0x42 0x50 traverse 0x3b5 0x860 seq_read 0x7e3 0x11a0 proc_reg_read 0xbc 0x180 do_loop_readv_writev 0x134 0x210 do_readv_writev 0x565 0x660 vfs_readv 0x67 0xa0 do_preadv 0x126 0x170 sys_preadv 0xc 0x10 do_syscall_64 0x1a1 0x460 return_from_syscall_64 0x0 0x6a cpu 1 pid 315 comm trinity c1 tainted g b 4 7 0 62 hardware name qemu standard pc i440fx piix 1996 bios ubuntu 1 8 2 1ubuntu1 04 01 2014 ffffea0002d96000 ffff880119b9f918 ffffffff81d6ce81 ffff88011a804480 ffff8800b6581500 ffff880119b9f948 ffffffff8146c7bd ffff88011a804480 ffffea0002d96000 ffff8800b6581500 fffffffffffffff4 ffff880119b9f970 call trace ffffffff81d6ce81 dump_stack 0x65 0x84 ffffffff8146c7bd print_trailer 0x10d 0x1a0 ffffffff814704ff object_err 0x2f 0x40 ffffffff814754d1 kasan_report_error 0x221 0x520 ffffffff8147590e __asan_report_load8_noabort 0x3e 0x40 ffffffff83888161 klist_iter_exit 0x61 0x70 ffffffff82404389 class_dev_iter_exit 0x9 0x10 ffffffff81d2e8ea disk_seqf_stop 0x3a 0x50 ffffffff8151f812 seq_read 0x4b2 0x11a0 ffffffff815f8fdc proc_reg_read 0xbc 0x180 ffffffff814b24e4 do_loop_readv_writev 0x134 0x210 ffffffff814b4c45 do_readv_writev 0x565 0x660 ffffffff814b8a17 vfs_readv 0x67 0xa0 ffffffff814b8de6 do_preadv 0x126 0x170 ffffffff814b92ec sys_preadv 0xc 0x10 this problem can occur in the following situation open pread seq_start iter kmalloc succeeds seqf private iter seq_stop kfree seqf private pread seq_start iter kmalloc fails seq_stop class_dev_iter_exit seqf private boom old pointer a the comment in disk_seqf_stop say stop is called even if start failed so we need to reinitialise the private pointer to null when seq iteration stop an alternative would be to set the private pointer to null when the kmalloc in disk_seqf_start fails cc stable vger kernel org signed off by vegard nossum vegard nossum oracle com acked by tejun heo tj kernel org signed off by jens axboe axboe fb com";"bad"
"2861";"10017";"merge branch 2 4 of github com misp misp into 2 4";"good"
"2862";"5180";"n_tty fix n_tty_write crash when echoing in raw mode the tty atomic_write_lock doe not provide an exclusion guarantee for the tty driver if the termios setting are lecho opost and since it is unexpected and not allowed to call tty buffer helper like tty_insert_flip_string concurrently this may lead to crash when concurrect writer call pty_write in that case the following two writer the echoing from a workqueue and pty_write from the process race and can overflow the corresponding tty buffer like follows if we look into tty_insert_flip_string_fixed_flag there is int space __tty_buffer_request_room port goal flag struct tty_buffer tb port buf tail memcpy char_buf_ptr tb tb used char space tb used space so the race of the two can result in something like this a b __tty_buffer_request_room __tty_buffer_request_room memcpy buf tb used tb used space memcpy buf tb used boom b s memcpy is past the tty_buffer due to the previous a s tb used increment since the n_tty line discipline input processing can output concurrently with a tty write obtain the n_tty ldisc output_lock to serialize echo output with normal tty writes this ensures the tty buffer helper tty_insert_flip_string is not called concurrently and everything is fine note that this is nicely reproducible by an ordinary user using forkpty and some setup around that raw termios echo and it is present in kernel at least after commit d945cb9cce20ac7143c2de8d88b187f62db99bdc pty rework the pty layer to use the normal buffering logic in 2 6 31 rc3 j add more info to the commit log j switch to bool j lock unconditionally j lock only the tty ops write call reference cve 2014 0196 reported and tested by jiri slaby jslaby suse cz signed off by peter hurley peter hurleysoftware com signed off by jiri slaby jslaby suse cz cc linus torvalds torvalds linux foundation org cc alan cox alan lxorguk ukuu org uk cc stable vger kernel org signed off by greg kroah hartman gregkh linuxfoundation org";"bad"
"2863";"2045";"x 취약점 수정";"bad"
"2864";"314";"chore validate orderby param for payment query";"bad"
"2865";"8336";"secunia 81800 1 samsumg_load_raw secunia 81800 2 find_green secunia 81800 3 rollei_load_raw remove_trailing_spaces isspace doe not work right with signed non latin char secunia 81800 5 6 nikon_coolscan_load_raw secunia 81800 4 rollei_load_raw";"good"
"2866";"5779";"fix a potential x bug that could occur in feedserice if you entered an feed url with an improperly formatted url";"bad"
"2867";"893";"x fix possible vuln setting client lang pref";"bad"
"2868";"9196";"merge pull request 969 from jeroen staticlibs install static library";"good"
"2869";"6633";"security sanitize message passed to generated j call in formresponse status_message e g to avoid x on successfully published page title message";"bad"
"2870";"107";"core fix abort in http parseopts fix 2945 fix abort in server http parseopts with url path 2f decode enabled thx stze x ref security sigabrt during get request handling with url path 2f decode enabled http redmine lighttpd net issue 2945";"bad"
"2871";"13041";"fix broken session with php 7 0 2840 6040574e25 2821 prevented empty session to be stored which made session read returned null which made the session_decode call to be made in php 7 0 for the first time in the lts release this commit is a hack to patch php 7 0 behavior and try to detect empty session without decoding them";"good"
"2872";"4136";"u4 10506 importing a specially crafted document type file can cause xxe attack";"bad"
"2873";"6600";"security fix x vulnerability when viewing directory discovered by an anonymous researcher working with beyond security s securiteam secure disclosure program http www beyondsecurity com ssd html";"bad"
"2874";"9309";"fix x in normalization j signed off by madhura jayaratne madhura cj gmail com";"good"
"2875";"2573";"disable unix domain socket forwarding when privsep is disabled";"bad"
"2876";"631";"drm v3d fix memory leak in v3d_submit_cl_ioctl in the impelementation of v3d_submit_cl_ioctl there are two memory leak one is when allocation for bin fails and the other is when bin initialization fails if kcalloc fails to allocate memory for bin then render base should be put also if v3d_job_init fails to initialize bin base then allocated memory for bin should be released fix a783a09ee76d drm v3d refactor job management signed off by navid emamdoost navid emamdoost gmail com reviewed by eric anholt eric anholt net signed off by daniel vetter daniel vetter ffwll ch link http patchwork freedesktop org patch msgid 20191021185250 26130 1 navid emamdoost gmail com";"bad"
"2877";"6780";"memcache reintroduce requestcontextscopeguard summary this wa removed in d14855187 but look like that is losing the context within the trace differential revision d16550954 fbshipit source id 3446d3d569d8d9759f9bf371d4b4d2bfb6e8735f";"good"
"2878";"9367";"issue 553 fix broken decryption for zip file sometimes decompressing wa failing due to miscalculation of buffer offset and hence causing a silent buffer overflow when a previous chunk decompression left some byte in the decryption buffer it wa not taken into account in determining space left in the decompression buffer so it could happen that the decryption buffer is completely full but some byte are not used yet in such case even though the buffer is full the code tried to decrypt more byte behind it s boundary this cl resolve this issue by properly calculating the amount of space left in the decompression buffer this is an edited version of tomasz mikolajewski s pull request";"good"
"2879";"11412";"4 0 2 release";"good"
"2880";"6314";"x in object key 5034";"bad"
"2881";"4987";"staging wlags49_h2 buffer overflow setting station name we need to check the length parameter before doing the memcpy i ve actually changed it to strlcpy a well so that it s nul terminated you need cap_net_admin to trigger these so it s not the end of the world reported by nico golde nico ngolde de reported by fabian yamaguchi fabs goesec de signed off by dan carpenter dan carpenter oracle com cc stable kernel org signed off by linus torvalds torvalds linux foundation org";"bad"
"2882";"10267";"fix 713 use the default language to send email and not only to build the email body message";"good"
"2883";"6040";"fixed issue 07851 sql injection in user_name form field thanks fromanmu";"bad"
"2884";"10993";"embeds url encode youtube video id for broader compatibility built from http develop svn wordpress org trunk 40160 git svn id http core svn wordpress org trunk 40099 1a063a9b 81f0 0310 95a4 ce76da25c4cd";"good"
"2885";"12151";"security fix fix to a possible php object injection unserialized user input replaced with json_decode";"good"
"2886";"12215";"get country and state data from the api instead of elliott";"good"
"2887";"11064";"jbpm 5437 escape quote inside of entry exit action 515 661";"good"
"2888";"1569";"sanitizing file name";"bad"
"2889";"428";"warn user before discarding their unsaved script 3852 warn user before discarding their unsaved script this close 3846";"bad"
"2890";"956";"fix spnego context aliasing bug cve 2015 2695 the spnego mechanism currently replaces it context handle with the mechanism context handle upon establishment under the assumption that most g function are only called after context establishment this assumption is incorrect and can lead to aliasing violation for some program maintain the spnego context structure after context establishment and refer to it in all g method add initiate and opened flag to the spnego context structure for use in gss_inquire_context prior to context establishment cve 2015 2695 in mit krb5 1 5 and later application which call gss_inquire_context on a partially established spnego context can cause the g api library to read from a pointer using the wrong type generally causing a process crash this bug may go unnoticed because the most common spnego authentication scenario establishes the context after just one call to gss_accept_sec_context java server application using the native jgss provider are vulnerable to this bug a carefully crafted spnego packet might allow the gss_inquire_context call to succeed with attacker determined result but application should not make access control decision based on gss_inquire_context result prior to context establishment cvssv2 vector av n ac m au n c n i n a c e poc rl of rc c ghudson mit edu several bugfixes style change and edge case behavior change commit message and cve description ticket 8244 target_version 1 14 tag pullup";"bad"
"2891";"10109";"prevent sql injection attack by escaping quote in column name";"good"
"2892";"7926";"micronaut test 1 1 5 2810 bump micronaut test version for 1 2 x update gradle property";"good"
"2893";"11198";"avcodec hevcdec check nb_sps signed off by michael niedermayer michael niedermayer cc cherry picked from commit bc406744620710911de9157eafa3e61d0246566f signed off by michael niedermayer michael niedermayer cc";"good"
"2894";"8913";"ensure setting user privilege is reversible this change make sure after dropping then elevating privilege for a process the euid guid and group are all the same a they were originally this significantly simplifies the privilege logic this fix cve 2018 6558 which allowed an unprivleged user to gain membership in the root group gid 0 due to the group not being properly reset in the process";"good"
"2895";"2424";"limit db login name length to avoid some kind of injection";"bad"
"2896";"3718";"clean any text present in gem before displaying it this make sure that any data pulled out of a gem spec is cleaned of all non printable character before printing it this prevents a gem from causing havoc with a user terminal";"bad"
"2897";"5777";"revert fix a potential x bug that could occur in feedserice if you entered an feed url with an improperly formatted url this reverts commit b2da551e92430ed5bacd969b0da76a6bbce9e313 conflict source craft app service dashboardservice php";"bad"
"2898";"11736";"merge remove unneeded rc_cur_time key from rccacheentryfactorytest";"good"
"2899";"8195";"security fix sql injection and command injection";"good"
"2900";"4004";"fix arbitrary heap exposure problem";"bad"
"2901";"12432";"fixed issue 14508 security x attack vector assessment editing dev move type from raw to html";"good"
"2902";"7234";"tcp better handle tcp_user_timeout in syn_sent state yuchung cheng and marek majkowski independently reported a weird behavior of tcp_user_timeout option when used at connect time when the tcp_user_timeout is reached tcp_write_timeout belief the flow should live and the following condition in tcp_clamp_rto_to_user_timeout program one jiffie timer remaining icsk icsk_user_timeout elapsed if remaining 0 return 1 user timeout ha passed fire asap this silly situation end when the max syn rtx count is reached this patch make sure we honor both tcp_syncnt and tcp_user_timeout avoiding these spurious syn packet fix b701a99e431d tcp add tcp_clamp_rto_to_user_timeout helper to improve accuracy signed off by eric dumazet edumazet google com reported by yuchung cheng ycheng google com reported by marek majkowski marek cloudflare com cc jon maxwell jmaxwell37 gmail com link http marc info l linux netdev m 156940118307949 w 2 acked by jon maxwell jmaxwell37 gmail com tested by marek majkowski marek cloudflare com signed off by marek majkowski marek cloudflare com acked by yuchung cheng ycheng google com signed off by david s miller davem davemloft net";"good"
"2903";"5229";"sanitize filename in import message signed off by michal čihař michal cihar com";"bad"
"2904";"8013";"version bump to 2 4 3";"good"
"2905";"9819";"merge pull request 1331 from nextcloud osx problem stable10 stable10 fix o x and ovh problem";"good"
"2906";"1176";"merge pull request 914 from plone isurlinportal hotfix apply isurlinportal fix from http pypi python org pypi product plonehotfix20150910";"bad"
"2907";"6454";"http atutor ca atutor mantis view php id 4521 x security fix on theme default include header tmpl php";"bad"
"2908";"5063";"avcodec parser reset index on realloc failure fix ticket2982 signed off by michael niedermayer michaelni gmx at";"bad"
"2909";"5384";"prevent the ldap validator from accepting an empty password";"bad"
"2910";"872";"unix call setgoups before calling setuid setgid partial fix for 1093";"bad"
"2911";"348";"x fix";"bad"
"2912";"9391";"updated change log from pull";"good"
"2913";"7917";"merge pull request 3167 from kevinmeredith classifier helper add helper function to build classifierf to pas to client and server s middleware";"good"
"2914";"4787";"use a better random generator";"bad"
"2915";"9240";"merge pull request 50 from kuanyili bugfix bugfixes";"good"
"2916";"11995";"hotfix release 2014 09 29a hrun";"good"
"2917";"7122";"update conference_interactive_inc php";"good"
"2918";"8506";"hcache initialise queue on restore";"good"
"2919";"2163";"userfaultfd shmem hugetlbfs only allow to register vm_maywrite vmas after the vma to register the uffd onto is found check that it ha vm_maywrite set before allowing registration this way we inherit all common code check before allowing to fill file hole in shmem and hugetlbfs with uffdio_copy the userfaultfd memory model is not applicable for readonly file unless it s a map_private link http lkml kernel org r 20181126173452 26955 4 aarcange redhat com fix ff62a3421044 hugetlb implement memfd sealing signed off by andrea arcangeli aarcange redhat com reviewed by mike rapoport rppt linux ibm com reviewed by hugh dickins hughd google com reported by jann horn jannh google com fix 4c27fe4c4c84 userfaultfd shmem add shmem_mcopy_atomic_pte for userfaultfd support cc stable vger kernel org cc dr david alan gilbert dgilbert redhat com cc mike kravetz mike kravetz oracle com cc peter xu peterx redhat com cc stable vger kernel org signed off by andrew morton akpm linux foundation org signed off by linus torvalds torvalds linux foundation org";"bad"
"2920";"795";"fix default fastcgi interface reviewed by alexeyt differential revision d15567393 fbshipit source id ffab228f689d4ddca9ea4835c70aecf16da2aa9f";"bad"
"2921";"2028";"fixed bug 76459 window linkinfo lack openbasedir check";"bad"
"2922";"7243";"fix a recently introduced memory leak in the test code in test_vfs c fossilorigin name 2d53a30cc23e53033af8e8666457654db5dcc453ed6cd176ce1d0bff4f528159";"good"
"2923";"12396";"fix orm getallattributesfromcomplexexpression";"good"
"2924";"10235";"kvm don t accept obviously wrong gsi value via kvm_irqfd we cannot add route for gsi value kvm_max_irq_routes see kvm_set_irq_routing hence there is no sense in accepting them via kvm_irqfd prevent them from entering the system in the first place signed off by jan h schönherr jschoenh amazon de signed off by paolo bonzini pbonzini redhat com";"good"
"2925";"7244";"revise the sqlite_open_nofollow so that it actually us o_nofollow in the open system call this back out the sqlite_access_symlink value but add the new sqlite_ok_symlink return code from the xfullpathname method of sqlite3_vfs when that routine resolve symbolic link o_nofollow is always included in open system call for journal file fossilorigin name 6a64fb6a2da6c98f1e87b55ad5689967e1db4eae2e08345471d95e28cd567e0f";"good"
"2926";"152";"fix segv in structuredheaders decodebase64 summary the existing code can potentially cause a segv due to an out of bound write this fix cve 2019 11921 reviewed by knekritz differential revision d12983120 fbshipit source id 1d48063595c8d518fd8afcbc941de260af7e37fd";"bad"
"2927";"288";"http github com imagemagick imagemagick issue 1613";"bad"
"2928";"1017";"crypto aesni fix memory usage in gcm decryption the kernel crypto api logic requires the caller to provide the length of ciphertext authentication tag a cryptlen for the aead decryption operation thus the cipher implementation must calculate the size of the plaintext output itself and cannot simply use cryptlen the rfc4106 gcm decryption operation try to overwrite cryptlen memory in req dst a the destination buffer for decryption only need to hold the plaintext memory but cryptlen reference the input buffer holding ciphertext authentication tag the assumption of the destination buffer length in rfc4106 gcm operation lead to a too large size this patch simply us the already calculated plaintext size in addition this patch fix the offset calculation of the aad buffer pointer a mentioned before cryptlen already includes the size of the tag thus the tag doe not need to be added with the addition the aad will be written beyond the already allocated buffer note this fix a kernel crash that can be triggered from user space via af_alg aead simply use the libkcapi test application from 1 and update it to use rfc4106 gcm aes using 1 the change were tested using cavs vector to demonstrate that the crypto operation still delivers the right result 1 http www chronox de libkcapi html cc tadeusz struk tadeusz struk intel com cc stable vger kernel org signed off by stephan mueller smueller chronox de signed off by herbert xu herbert gondor apana org au";"bad"
"2929";"1085";"release v5 0 9 see changelog for detail";"bad"
"2930";"5005";"fixed a cross site request forgery exploit that would allow logged in bigtree admins hitting a malicious page to automatically create update user";"bad"
